Roll No,ME3116,ME3115,ME2081,ME3113,ME3062,ME3111,ME3110,ME3081,ME116,ME2116,ME2063,ME311,ME311A,ME306,ME3112,Not Attempted
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
